IDmlb,IDfg,FNM,LNM,IDYahoo
687931,31676,Carson,Whisenhunt,
691799,33927,Grant,Taylor,
684320,33838,Yariel,Rodríguez,
688138,33699,Logan,Evans,
675512,31807,Troy,Melton,
676467,31312,Colton,Gordon,
701581,30056,David,Festa,
695076,33876,Rhett,Lowder,
676428,30133,Brant,Hurter,
676263,30249,Jack,Dreyer,
806960,32227,Luis,Morales,
677952,23793,Braxton,Ashcraft,
680684,31318,Gunnar,Hoglund,
694813,27792,Gavin,Stone,
693855,27932,Ian,Seymour,
674003,27597,Cody,Bradford,
685299,27669,Tanner,Gordon,
687792,26389,DJ,Herz,
687134,26419,Bradley,Blalock,
680736,31204,Justin,Wrobleski,
666129,21844,Braxton,Garrett,
656756,16511,Jordan,Montgomery,
656412,19874,Alex,Faedo,
665622,21649,Luis,Medina,
641585,21212,J.P.,France,
682610,25311,Roddery,Muñoz,
691441,27974,Cristian,Mena,
693313,30084,Carson,Seymour,
685126,27668,Brandon,Eisert,
669620,25582,Brady,Basso,
687924,30031,Julian,Aguiar,
689981,29514,River,Ryan,
678368,23899,Valente,Bellozo,
702070,30184,Noah,Cameron,
694819,31623,Jacob,Misiorowski,
695505,35333,Chase,Burns,
571970,13301,Max,Muncy,9606
691777,29779,Max,Muncy,12501
622491,15689,Luis,Castillo,10514
622379,20638,Luis,Castillo,
669257,19197,Will,Smith,10642
